"","site","year","month","ppt","tmax","tmin"
"1","Area 31",1995,1,85.7990036010742,9.87670040130615,1.68859994411469
"2","Area 31",1995,2,24.5990009307861,19.0359001159668,4.52479982376099
"3","Area 31",1995,3,119.664009094238,16.8955993652344,5.24580001831055
"4","Area 31",1995,4,29.7880020141602,20.3115005493164,6.65369987487793
"5","Area 31",1995,5,32.9160003662109,24.355899810791,10.7417001724243
"6","Area 31",1995,6,22.3960018157959,30.5160999298096,14.2621002197266
"7","Area 31",1995,7,2.78800010681152,36.7704010009766,18.9188003540039
"8","Area 31",1995,8,10.9140005111694,37.3050003051758,21.5778007507324
"9","Area 31",1995,9,12.9820003509521,33.3578987121582,17.8187007904053
"10","Area 31",1995,10,0,26.3332004547119,9.23760032653809
"11","Area 31",1995,11,10.076000213623,20.5995006561279,5.67080020904541
"12","Area 31",1995,12,11.2910003662109,13.9540004730225,1.22109997272491
"13","Area 31",1996,1,16.7590007781982,12.451000213623,0.00270000007003546
"14","Area 31",1996,2,42.0980033874512,15.847900390625,3.88910007476807
"15","Area 31",1996,3,15.5430011749268,18.2108001708984,4.43170022964478
"16","Area 31",1996,4,3.61100006103516,24.327600479126,8.83209991455078
"17","Area 31",1996,5,12.706000328064,29.7493000030518,13.8500003814697
"18","Area 31",1996,6,0,36.1585998535156,17.5172004699707
"19","Area 31",1996,7,16.5550003051758,38.2386016845703,21.6303005218506
"20","Area 31",1996,8,0.27700001001358,37.9047012329102,21.7511005401611
"21","Area 31",1996,9,20.2330017089844,30.9157009124756,16.0603008270264
"22","Area 31",1996,10,19.4300003051758,24.1110000610352,9.09109973907471
"23","Area 31",1996,11,49.6370010375977,16.4570999145508,4.44080018997192
"24","Area 31",1996,12,29.3720016479492,10.7455997467041,1.042799949646
"25","Area 31",1997,1,72.8610000610352,9.45269966125488,0.645900011062622
"26","Area 31",1997,2,14.0050010681152,13.7054996490479,1.70930004119873
"27","Area 31",1997,3,2.91500020027161,20.8341007232666,5.20690011978149
"28","Area 31",1997,4,11.4840002059937,20.9433994293213,6.99109983444214
"29","Area 31",1997,5,8.14400005340576,30.9277000427246,15.019700050354
"30","Area 31",1997,6,4.25500011444092,32.9085998535156,16.6746006011963
"31","Area 31",1997,7,3.16100025177002,35.7141990661621,18.86669921875
"32","Area 31",1997,8,46.8120040893555,35.6598014831543,20.7068004608154
"33","Area 31",1997,9,82.8750076293945,30.826000213623,17.7471008300781
"34","Area 31",1997,10,5.99700021743774,24.8041000366211,8.8887996673584
"35","Area 31",1997,11,22.9610004425049,17.7901992797852,4.76870012283325
