"Site","Tort","Year","ReproStatus","MCL","TE","TortSite"
"Area 31","470",2000,1,232,7,"470Area_31"
"Area 31","471",2000,1,212,7,"471Area_31"
"Area 31","472",2000,1,256,6,"472Area_31"
"Area 31","473",2000,1,235,5,"473Area_31"
"Area 31","1043",2000,1,239,6,"1043Area_31"
"Area 31","1044",2000,1,257,4,"1044Area_31"
"Area 31","1045",2000,1,222,3,"1045Area_31"
"Area 31","1048",2000,1,242,6,"1048Area_31"
"Area 31","1049",2000,1,222,6,"1049Area_31"
"LM","603",1998,1,248,3,"603LM"
"LM","608",1998,1,247,2,"608LM"
"LM","609",1998,1,253,6,"609LM"
"LM","610",1998,1,238,3,"610LM"
"LM","611",1998,0,198,0,"611LM"
"LM","603",1999,1,249,5,"603LM"
"LM","609",1999,1,258,4,"609LM"
"LM","610",1999,1,237,7,"610LM"
"LM","611",1999,0,204,0,"611LM"
"LM","616",1999,1,223,3,"616LM"
"LM","702",1998,1,228,4,"702LM"
"LM","703",1998,0,259,0,"703LM"
"LM","704",1998,0,253,0,"704LM"
"LM","711",1998,1,255,6,"711LM"
"LM","714",1998,0,228,0,"714LM"
"LM","718",1998,0,224,0,"718LM"
"LM","720",1998,1,257,13,"720LM"
"LM","721",1998,1,232,8,"721LM"
"LM","722",1998,1,234,6,"722LM"
"LM","723",1998,0,250,0,"723LM"
"LM","724",1998,1,261,5,"724LM"
"LM","725",1998,1,225,3,"725LM"
"LM","732",1998,0,255,0,"732LM"
"LM","733",1998,0,220,0,"733LM"
"LM","702",1999,1,224,8,"702LM"
"LM","703",1999,1,259,9,"703LM"
"LM","704",1999,1,256,11,"704LM"
"LM","711",1999,1,255,10,"711LM"
"LM","714",1999,1,233,10,"714LM"
"LM","721",1999,1,233,8,"721LM"
"LM","722",1999,1,235,9,"722LM"
"LM","723",1999,1,253,4,"723LM"
"LM","724",1999,1,267,10,"724LM"
"LM","725",1999,1,227,3,"725LM"
"LM","733",1999,1,223,13,"733LM"
"PAH","188",1998,1,251,8,"188PAH"
"PAH","560",1998,1,213,6,"560PAH"
"PAH","573",1998,1,256,2,"573PAH"
"PAH","577",1998,1,224,6,"577PAH"
"PAH","858",1998,1,271,8,"858PAH"
"PAH","188",1999,1,252,10,"188PAH"
"PAH","560",1999,1,218,9,"560PAH"
"PAH","858",1999,1,268,9,"858PAH"
"PAH","1064",1999,0,233,0,"1064PAH"
"PAH","188",2000,1,250,5,"188PAH"
"PAH","560",2000,1,221,5,"560PAH"
"PAH","858",2000,1,268,8,"858PAH"
"PAH","1064",2000,1,239,6,"1064PAH"
"SSM","624",1999,0,180,0,"624SSM"
"SSM","629",1999,0,225,0,"629SSM"
"SSM","631",1999,1,245,6,"631SSM"
"SSM","627",2000,1,235,10,"627SSM"
"SSM","629",2000,0,240,0,"629SSM"
"SSM","631",2000,1,248,8,"631SSM"
"CIMA","R51",1997,1,244,4,"R51CIMA"
"CIMA","R51",1998,1,247,7,"R51CIMA"
"CIMA","R52",1997,0,199,0,"R52CIMA"
"CIMA","R52",1998,1,205,4,"R52CIMA"
"CIMA","R53",1997,0,242,0,"R53CIMA"
"CIMA","R53",1998,1,243,10,"R53CIMA"
"CIMA","R53",1999,1,243,5,"R53CIMA"
"CIMA","R54",1997,0,235,0,"R54CIMA"
"CIMA","R54",1999,1,235,11,"R54CIMA"
"CIMA","R55",1997,0,237,0,"R55CIMA"
"CIMA","R55",1998,1,240,6,"R55CIMA"
"CIMA","R55",1999,1,238,7,"R55CIMA"
"CIMA","R56",1997,1,219,1,"R56CIMA"
"CIMA","R56",1998,1,222,9,"R56CIMA"
"CIMA","R56",1999,1,225,6,"R56CIMA"
"CIMA","R57",1997,0,209,0,"R57CIMA"
"CIMA","R57",1998,1,211,4,"R57CIMA"
"CIMA","R58",1997,0,225,0,"R58CIMA"
"CIMA","R58",1998,1,225,5,"R58CIMA"
"CIMA","R59",1997,1,216,3,"R59CIMA"
"CIMA","R59",1998,1,220,7,"R59CIMA"
"CIMA","R60",1997,1,243,2,"R60CIMA"
"CIMA","R60",1998,1,241,5,"R60CIMA"
"CIMA","R60",1999,1,244,9,"R60CIMA"
"CIMA","R61",1997,1,280,7,"R61CIMA"
"CIMA","R61",1998,1,282,14,"R61CIMA"
"CIMA","R61",1999,1,283,9,"R61CIMA"
"CIMA","R62",1997,1,256,5,"R62CIMA"
"CIMA","R62",1998,1,255,12,"R62CIMA"
"CIMA","R62",1999,1,256,6,"R62CIMA"
"CIMA","R63",1997,1,250,4,"R63CIMA"
"CIMA","R63",1998,1,251,9,"R63CIMA"
"CIMA","R63",1999,1,252,6,"R63CIMA"
"CIMA","R64",1997,1,269,3,"R64CIMA"
"CIMA","R64",1998,1,270,11,"R64CIMA"
"CIMA","R64",1999,1,269,11,"R64CIMA"
"CIMA","R65",1997,1,225,4,"R65CIMA"
"CIMA","R65",1998,1,228,5,"R65CIMA"
"CIMA","R66",1997,0,201,0,"R66CIMA"
"CIMA","R67",1997,1,225,3,"R67CIMA"
"CIMA","R68",1997,1,224,5,"R68CIMA"
"CIMA","R68",1998,1,225,7,"R68CIMA"
"CIMA","R68",1999,1,223,5,"R68CIMA"
"CIMA","R69",1998,1,226,9,"R69CIMA"
"CIMA","R69",1999,1,226,4,"R69CIMA"
"CIMA","R70",1998,1,253,6,"R70CIMA"
"CIMA","R70",1999,1,242,6,"R70CIMA"
"CIMA","R71",1998,1,222,6,"R71CIMA"
"CIMA","R71",1999,1,222,8,"R71CIMA"
"CIMA","R72",1998,1,206,6,"R72CIMA"
"CIMA","R72",1999,1,212,4,"R72CIMA"
"CIMA","R73",1998,1,233,10,"R73CIMA"
"CIMA","R73",1999,1,232,10,"R73CIMA"
"CIMA","R74",1998,1,234,9,"R74CIMA"
"CIMA","R74",1999,1,234,6,"R74CIMA"
"CIMA","R75",1998,1,231,4,"R75CIMA"
"CIMA","R75",1999,1,234,6,"R75CIMA"
"MESA","3",1997,1,242,8,"3MESA"
"MESA","3",1998,1,244,11,"3MESA"
"MESA","3",1999,1,243,8,"3MESA"
"MESA","3",2000,1,245,9,"3MESA"
"MESA","6",1997,1,221,2,"6MESA"
"MESA","6",1998,1,221.5,10,"6MESA"
"MESA","6",1999,1,222,5,"6MESA"
"MESA","6",2000,1,224,4,"6MESA"
"MESA","8",1997,1,261,12,"8MESA"
"MESA","8",1998,1,263,14,"8MESA"
"MESA","8",1999,1,263,11,"8MESA"
"MESA","8",2000,1,264,12,"8MESA"
"MESA","10",1997,1,258,10,"10MESA"
"MESA","10",1998,1,259,14,"10MESA"
"MESA","10",1999,1,262,4,"10MESA"
"MESA","10",2000,1,259,10,"10MESA"
"MESA","13",1997,1,241,12,"13MESA"
"MESA","13",1998,1,243,12,"13MESA"
"MESA","14",1997,0,234,0,"14MESA"
"MESA","14",1998,0,235,0,"14MESA"
"MESA","16",1997,1,239,9,"16MESA"
"MESA","16",1998,1,245,15,"16MESA"
"MESA","16",1999,1,248,9,"16MESA"
"MESA","16",2000,1,252,8,"16MESA"
"MESA","20",1997,1,269,10,"20MESA"
"MESA","20",1998,1,270,6,"20MESA"
"MESA","20",1999,1,271,8,"20MESA"
"MESA","20",2000,1,270,6,"20MESA"
"MESA","21",1997,1,239,4,"21MESA"
"MESA","21",1998,1,240,3,"21MESA"
"MESA","23",1997,1,244,5,"23MESA"
"MESA","23",1998,1,247,12,"23MESA"
"MESA","23",1999,1,248,4,"23MESA"
"MESA","23",2000,1,247,8,"23MESA"
"MESA","27",1998,1,264,11,"27MESA"
"MESA","27",1999,1,264,7,"27MESA"
"MESA","27",2000,1,265,3,"27MESA"
"MESA","32",1998,1,241,12,"32MESA"
"MESA","32",2000,1,241,15,"32MESA"
"MESA","35",1998,1,249,12,"35MESA"
"MESA","35",1999,1,252,6,"35MESA"
"MESA","35",2000,1,253,11,"35MESA"
"MESA","36",1999,0,256,0,"36MESA"
"MESA","36",2000,1,258,8,"36MESA"
"MESA","48",1999,1,241,6,"48MESA"
"MESA","49",1999,1,255,8,"49MESA"
"MESA","49",2000,1,255,4,"49MESA"
"MESA","61",2000,1,267,7,"61MESA"
"MESA","64",2000,1,216,10,"64MESA"
"BARROWS","62",1998,1,244,6,"62BARROWS"
"BARROWS","62",1999,1,245,4,"62BARROWS"
"BARROWS","151",1998,1,242,5,"151BARROWS"
"BARROWS","158",1997,0,264,0,"158BARROWS"
"BARROWS","158",1998,1,265,9,"158BARROWS"
"BARROWS","167",1997,0,238,0,"167BARROWS"
"BARROWS","167",1998,1,238,12,"167BARROWS"
"BARROWS","168",1997,0,229,0,"168BARROWS"
"BARROWS","168",1998,1,229,8,"168BARROWS"
"BARROWS","980072",1998,1,236,7,"980072BARROWS"
"BARROWS","980182",1998,1,257,12,"980182BARROWS"
"BARROWS","980182",1999,0,258,0,"980182BARROWS"
"Redcliffs","148.02",1998,1,225,5,"148.02Redcliffs"
"Redcliffs","407",1998,1,264,8,"407Redcliffs"
"Redcliffs","408",1998,1,261,12,"408Redcliffs"
"Redcliffs","412",1998,1,263,10,"412Redcliffs"
"Redcliffs","417",1998,1,257,9,"417Redcliffs"
"Redcliffs","1051",1998,1,217,3,"1051Redcliffs"
"Redcliffs","1052",1998,1,238,7,"1052Redcliffs"
"Redcliffs","1055",1998,1,230,5,"1055Redcliffs"
"Redcliffs","1056",1998,0,212,0,"1056Redcliffs"
"Redcliffs","1057",1998,1,239,9,"1057Redcliffs"
"Area 31","470",1999,1,232,8,"470Area_31"
"Area 31","471",1998,1,214,7,"471Area_31"
"Area 31","471",1999,1,213,7,"471Area_31"
"Area 31","472",1998,1,259,7,"472Area_31"
"Area 31","472",1999,1,259,9,"472Area_31"
"Area 31","473",1999,1,239,4,"473Area_31"
"Area 31","856",1998,1,213,3,"856Area_31"
"Area 31","856",1999,1,221,5,"856Area_31"
"Area 31","1037",1998,1,223,12,"1037Area_31"
"Area 31","1037",1999,1,225,11,"1037Area_31"
"Area 31","1040",1998,1,210,8,"1040Area_31"
"Area 31","1040",1999,0,217,0,"1040Area_31"
"Area 31","1041",1998,1,203,4,"1041Area_31"
"Area 31","1041",1999,1,205,3,"1041Area_31"
"Area 31","1043",1998,1,235,6,"1043Area_31"
"Area 31","1043",1999,1,239,13,"1043Area_31"
"Area 31","1044",1998,1,257,12,"1044Area_31"
"Area 31","1044",1999,1,258,11,"1044Area_31"
"Area 31","1045",1998,1,220,4,"1045Area_31"
